AbyssalSands 1 -8109.339844 -3067.478760 38.977333
Addle's Stead 0 -10992.6 268.794 27.5101
AddlesStead 0 -10992.6 268.794 27.5101
Aerie Peak 0 327.814 -1959.99 197.724
AeriePeak 0 327.814 -1959.99 197.724
Agamand Mills 0 2803.27 847.119 111.841
AgamandMills 0 2803.27 847.119 111.841
Agmond's End 0 -7027.81 -3330.11 241.51
AgmondsEnd 0 -7027.81 -3330.11 241.51
AgolWatha 0 339.304169 -3469.386963 118.433319
AlcazIsland 1 -2657.629395 -4896.053223 21.372576
Aldrassil 1 10383.255859 753.773987 1320.324341
Aldrassil 1 10455.7 798.455 1346.75
Alexston Farmsted 0 -10644.8 1681.3 42.0338
AlexstonFarmsted 0 -10644.8 1681.3 42.0338
AlgazStation 0 -4909.516113 -2726.763672 329.060089
Altar of Storms A 0 -11272.8 -2547.59 102.02
Altar of Storms B 0 -7613.13 -761.492 190.807
AltarOfStorms 0 -11272.8 -2547.59 102.02
AltarOfStorms 0 -7613.13 -761.492 190.807
AltarOfZul 0 -295.384 -3459.12 194.005
AlteracValley 189 269.190918 -211.791336 19.200991
AlteracValley 30 628.529663 -207.670395 39.052345
Alther's Mill 0 -9168.66 -2726.31 90.0426
AlthersMill 0 -9168.66 -2726.31 90.0426
Ambermill 0 -126.954 815.624 66.0224
Ambermill 0 -126.954 815.624 66.0224
AmethAran 1 5732.531738 116.359367 31.568090
AngorFortress 0 -6380.77 -3139.89 301.111
Anvilmar 0 -6110.8 388.517 395.542
Anvilmar 0 -6130.245117 383.966248 395.542419
Apocryphan's Rest 0 -6894.29 -2465.82 247.978
ApocryphansRest 0 -6894.29 -2465.82 247.978
ArathiBasin 529 1181.62 1183.39 -45.329
ArathiHighlands 0 -907.864990 -3534.239990 83.787804
Arc 0 2953.424805 -4013.082520 101.429352
Arena 0 -13152.9 342.729 52.1328
AridensCamp 0 -10443.619141 -2140.790283 90.779533
Ashenvale 1 3469.429932 847.619995 5.364760
Astranaar 1 2745.85 -378.33 108.253
Astrannar 1 2756.639893 -423.057007 119.387001
Astrnaar 1 2745.85 -378.33 108.253
Aszhara Naga City 1 3546.8 -5287.96 109.935
Auberdine 1 6439.28 614.957 5.98831
Auberdine 1 6441.729004 485.862885 7.691852
Azureload Human Town 0 -11033 -3095.22 89.8189
AzurelodeMine 0 -821.604 -544.654 15.0387
Azshara 1 2717.10 -5968.91 106.40
Azshara 1 4260.729980 -6273.640137 90.228897
Bael Modan 1 -4095.7 -2305.74 124.914
Bael'Dun Digside 1 -1897.98 400.675 134.787
BaelDunDigside 1 -1897.98 400.675 134.787
BaelModan 1 -4074.333496 -2094.191650 93.293579
Bal'lal Ruins 0 -11977.4 332.254 3.20626
BallalRuins 0 -11977.4 332.254 3.20626
Balnir Farmstead 0 2032.01 -432.954 35.4329
BalnirFarmstead 0 2032.01 -432.954 35.4329
Balwark 0 1716.02 -788.217 56.844
Baradin Bay 0 -2955 -1022.21 10.0919
BaradinBay 0 -2955 -1022.21 10.0919
Barrens 1 90.100304 -1943.439941 79.472702
Barrens Field of Giants 1 -3120.86 -2327.89 93.1243
Barrens Gnoll Outpost 1 -4319.38 -2110.38 80.8662
Barrens Merchant Coast 1 -1719.08 -3824.99 12.0836
Barrens The Great Lift 1 -4619.15 -1850.91 86.0563
BarrensMerchantCoast 1 -1719.08 -3824.99 12.0836
BashalAran 1 6735.43 6.71422 42.7028
Bashal'Aran 1 6735.43 6.71422 42.7028
Beezil's Zepellins Wreck 1 -4006.19 -3777.83 40.6804
Beggar's Haunt 0 -10359.9 -1531.75 91.5352
BeggarsHaunt 0 -10359.9 -1531.75 91.5352
Behind The Greymane Wall 0 -987.449 1585.69 53.4298
Big Broken Gates 0 -3465.16 -3727.56 64.5778
Big Feralas Ruins 1 -5566.04 1449.82 20.1135
Black Morass Portal 269 -2033.498413 7120.973633 23.518921
Black Morass Underground Entrance 269 -2014.115723 6583.495117 -154.653809
Black Morass Underground Exit 269 -2061.120117 6635.970215 -144.595993
Blackfathom 48 -161.440430 79.704445 -46.046459
BlackfathomDeep 48 -152.983551 106.329994 -40.095310
BlackMorass 269 -2061.120117 6635.970215 -144.595993
BlackphantomDeeps 1 4252.370117 756.973999 -23.063200
Blackrock Mountain 0 -7317.34 -1072.33 277.069
BlackrockCamp 0 -9713.805664 -3188.386963 58.683464
BlackrockDepths 230 596.432007 -188.498001 -50.000000
BlackrockMountain 0 -7317.34 -1072.33 277.069
BlackrockSpire 229 73.508301 -215.044006 52.386902
BlackrockStronghold 0 -7728.115234 -1504.216675 132.836838
BlackrokMountain 0 -7813.246094 -1133.333008 214.069138
BlackwingLair 469 -7375.319824 -1240.140015 494.279999
BlackwolfRiver 1 1160.25 51.3229 1.072
BlackwoodDen 1 4641.189941 55.380100 66.630699
BlackwoodLake 0 2515.843018 -4251.861328 76.356834
Bladefist Bay 1 1525.73 -4968.13 17.1397
BlastedLands 0 -11204.500000 -2730.610107 14.897200
Bloodhoff 1 -2366.699951 -345.983002 -1.293130
BloodhoffVillage 1 -2366.699951 -345.983002 -1.293130
Bloodhoof Tauren Village 1 -2321.74 -378.941 -9.40597
BloodhoofTaurenVillage 1 -2321.74 -378.941 -8.568934
BloodhoofVillage 1 -2348.841797 -383.373016 -7.744366
BloodsailCompound 0 -13274.4 769.951 2.45505
BloodvenomFalls 1 5280.025879 -713.610046 346.128693
Booty Bay 0 -14406.6 419.353 22.3907
BootyBay 0 -14406.6 419.353 22.3907
BoughShadow 1 3141.823730 -3707.343262 121.049583
BoughtShadow 1 3151.737793 -3578.885010 130.509018
Boulderfist Hall 0 -1969.08 -2789.04 81.2105
BoulderfistHall 0 -1969.08 -2789.04 81.2105
BouldersideRavine 1 -122.390999 388.013000 94.485603
Brackenwall Orc Village 1 -3129.38 -2864.51 34.8711
BrackenwallOrcVillage 1 -3129.38 -2864.51 34.8711
Brackwell Pumpkin Patch 0 -9769.82 -811.712 40.9564
BrackwellPumpkinPatch 0 -9772.438477 -869.693420 39.509605
Brambleblade Ravine 1 -2933.37 -963.993 58.2343
BramblebladeRavine 1 -3037.043457 -1050.556396 49.144676
Brewnall Village 0 -5368.81 319.498 394.123
BrewnallVillage 0 -5368.81 319.498 394.123
Brightwater Lake 0 2685.13 -198.851 31.4095
Brightwood Grove 0 -10649.7 -884.01 50.8196
BrightwoodGrove 0 -10649.7 -884.01 50.8196
Brill 0 2255.495850 288.510803 34.113754
Brill Forsaken Village 0 2260.64 289.021 34.1291
BrillGallowsEndTavern 0 2266.679932 245.992996 44.414501
Bulwark 0 1636.094360 -1011.360474 76.112404
Caer Darrow The Dark Portal 0 1125.31 -2541.35 78.3562
CaerDarrow 0 1025.586060 -2516.998535 59.141575
Camp Boff 0 -7033.94 -3669.89 245.91
Camp Cagg 0 -7147.67 -2430.87 240.51
Camp Cosh 0 -6247.73 -3776.6 249.06
Camp Taurajo 1 -2388.95 -1918.82 96.7422
CampBoff 0 -7033.94 -3669.89 245.91
CampCagg 0 -7147.67 -2430.87 240.51
CampCosh 0 -6247.73 -3776.6 249.06
CampMojache 1 -4369.68 242.294 25.4133
CampMojache 1 -4458.928711 243.414932 64.613571
CampNarache 1 -2893.036621 -240.870163 53.544483
CampTaurajo 1 -2372.510010 -1991.640015 120.974998
CampTaurajo 1 -2388.95 -1918.82 96.7422
CathedralOfLight 0 -8561.540039 823.382996 106.518997
CathedralSquare 0 -8624.118164 774.103516 96.650604
Cauldron 0 -6892.24 -1342.38 239.913
CavernOfTimes 1 -8280.790039 -4025.139893 -181.059006
CavernsOfTime 1 -8195.938477 -4500.128418 8.608192
CenarionEnclave 1 10118.433594 2538.496094 1321.517090
ChampionHall 449 -0.199573 -1.591120 -0.255884
Charred Vale 1 821.99 1599.07 -21.1896
CharredVale 1 821.99 1599.07 -21.1896
ChillwindPoint 0 322.373138 -1487.853882 43.720089
ChillwindPoint 0 322.373138 -1487.853882 43.720089
Circle of East Binding 0 -842.604 -3270.04 78.3588
Circle of Inner Binding 0 -1529.75 -2166.7 17.3717
Circle of Outer Binding 0 -1354.4 -2738.07 58.9657
Circle of West Binding 0 -863.118 -1784.72 39.6118
CircleOfInnerBinding 0 -1529.75 -2166.7 17.3717
City of Ironforge 0 -4981.25 -881.542 501.66
CleftOfShadow 1 1805.406006 -4337.110352 -11.187704
Cliffspring River 1 6931.74 -569.077 44.8192
Cold Hearth Manor 0 2146.99 658.485 33.59
Coldridge Valley 0 -6325.7 294.835 379.791
ColdridgeValley 0 -6229.251953 333.733276 383.206116
Commons 0 -4920.611816 -955.967468 501.509644
Cool Piece of Land 0 -9549.58 -4939.88 174.657
Cool Temple 0 3452.83 -4992.61 196.981
CorinsCrossing 0 2039.727173 -4511.625000 73.621826
CraftmensTerrace 1 10094.301758 2319.444092 1329.172119
Cragpool Lake 1 1618.33 161.796 133.084
CragpoolLake 1 1618.33 161.796 133.084
Crossroads 1 -456.263 -2652.7 95.615
CrownGuardTower 0 1868.662354 -3678.965332 155.231430
Crystal Lake 0 -9462.99 -161.312 60.7274
Dabyrie's Farmstead 0 -1065.89 -2905.56 42.0958
DabyriesFarmstead 0 -1065.89 -2905.56 42.0958
