3,987,6,Flesh Eater
6,10913,7,Kobold Vermin
30,382,1,Forest Spider
36,367,9,Harvest Golem
38,5035,7,Defias Thug
40,373,7,Kobold Miner
43,368,1,Mine Spider
46,441,7,Murloc Forager
48,200,6,Skeletal Warrior
54,1287,7,Corina Steele
60,2153,7,Ruklar the Trapper
61,3341,7,Thuros Lightfingers
66,1298,7,Tharynn Bouden
68,5446,7,Stormwind City Guard
69,604,1,Timber Wolf
74,1289,7,Kurran Steele
78,3275,7,Janos Hammerknuckle
79,774,7,Narg the Taskmaster
80,365,7,Kobold Laborer
89,169,3,Infernal
92,171,4,Rock Elemental
94,2362,7,Defias Cutpurse
95,4418,7,Defias Smuggler
97,10791,7,Riverpaw Runt
98,376,7,Riverpaw Taskmaster
99,3320,7,Morgaine the Sly
100,175,7,Gruff Swiftbite
103,2073,7,Garrick Padfoot
113,503,1,Stonetusk Boar
114,378,9,Harvest Watcher
115,379,9,Harvest Reaper
116,2357,7,Defias Bandit
117,175,7,Riverpaw Gnoll
118,11415,1,Prowler
119,381,1,Longsnout
121,2336,7,Defias Pathstalker
122,2342,7,Defias Highwayman
123,383,7,Riverpaw Mongrel
124,384,7,Riverpaw Brute
125,10790,7,Riverpaw Overseer
126,983,7,Murloc Coastrunner
127,1995,7,Murloc Tidehunter
151,1292,7,Brog Hamfist
152,3277,7,Brother Danil
154,1105,1,Greater Fleshripper
157,3027,1,Goretusk
167,1844,7,Morhan Coppertongue
171,1305,7,Murloc Warrior
190,3276,7,Dermot Johns
193,196,2,Blue Dragonspawn
196,3251,7,Eagan Peltskinner
197,1859,7,Marshal McBride
198,5001,7,Khelden Bremen
199,410,1,Young Fleshripper
202,9786,6,Skeletal Horror
203,9783,6,Skeletal Mage
205,736,7,Nightbane Dark Runner
206,522,7,Nightbane Vile Fang
210,570,6,Bone Chewer
212,610,7,Splinter Fist Warrior
213,801,1,Starving Dire Wolf
215,4276,7,Defias Night Runner
217,955,1,Venom Web Spider
218,4275,7,Grave Robber
222,1845,7,Nillen Andemar
223,10619,7,Dan Golthas
225,4331,7,Gavin Gnarltree
226,4332,7,Morg Gnarltree
227,4340,7,Mabel Solaj
228,4334,7,Avette Fellwood
232,3614,7,Farmer Ray
233,1943,7,Farmer Saldean
234,1690,7,Gryan Stoutmantle
235,1691,7,Salma Saldean
237,1944,7,Farmer Furlbrow
238,1692,7,Verna Furlbrow
239,3265,7,Grimbooze Thunderbrew
240,1985,7,Marshal Dughan
241,3254,7,Remy 'Two Times'
244,3330,7,Ma Stonefield
246,3329,7,Auntie Bernice Stonefield
247,221,7,Billy Maclure
248,2959,7,Gramma Stonefield
250,3327,7,Pa Maclure
251,3323,7,Maybell Maclure
252,3331,7,Tommy Joe Stonefield
253,5038,7,William Pestle
255,3324,7,Gerard Tiller
257,10912,7,Kobold Workers
258,3328,7,Joshua Maclure
261,1984,7,Guard Thomas
263,4321,7,Lord Ello Ebonlocke
264,4322,7,Commander Althea Ebonlocke
265,4323,7,Madame Eva
266,1741,7,Wiley the Black
267,1720,7,Clerk Daltry
268,4324,7,Sirra Von'Indi
269,4309,7,Role Dreuger
270,1724,7,Councilman Millstipe
271,1713,7,Ambassador Berrybuck
272,1715,7,Chef Grual
273,1731,7,Tavernkeep Smitts
274,5039,7,Barkeep Hann
275,1734,7,Whit Wantmal
276,4326,7,Viktori Prism'Antras
277,1433,7,Roberto Pupellyverbos
278,3268,7,Sara Timberlain
279,5082,7,Morgan Pestle
285,617,7,Murloc
288,4325,7,Jitters
289,4328,7,Abercrombie
294,1689,7,Marshal Haggard
295,1291,7,Innkeeper Farley
297,1756,7,Caretaker Folsom
299,447,1,Young Wolf
300,655,7,Zzarc' Vul
302,915,6,Blind Mary
305,2410,10,White Stallion Mount
311,4327,7,Sven Yorgen
313,3348,7,Theocritus
314,10487,6,Eliza
315,1562,6,Stalvan Mistmantle
325,4320,7,Hogan Ference
327,2299,7,Goldtooth
328,1294,7,Zaldimar Wefhellt
329,453,4,Earth Elemental
330,8871,1,Princess
331,1484,7,Maginor Dumas
332,1736,7,Master Mathias Shaw
334,6050,7,Gath'Ilzogg
335,497,2,Singe
338,5080,7,Mazen Mac'Nadir
340,5728,7,Kendor Kabonka
341,1748,7,Foreman Oslow
342,1743,7,Martie Jainrose
343,3377,7,Chef Breanna
344,1753,7,Magistrate Solomon
345,703,1,Bellygrub
346,3370,7,Barkeep Daniels
347,15099,7,Grizzle Halfmane
348,3359,7,Zem Leeward
349,1826,7,Corporal Keeshan
352,5128,7,Dungar Longdrink
372,8089,7,Karm Ironquill
374,4287,7,Cog Glitzspinner
375,3344,7,Priestess Anetta
376,1495,7,High Priestess Laurena
377,1295,7,Priestess Josetta
379,3367,7,Darcy
381,3360,7,Dockmaster Baren
382,3454,7,Marshal Marris
383,3273,7,Jason Mathers
384,3270,7,Katie Hunter
385,229,8,Horse
390,377,1,Porcine Entourage
391,5243,7,Old Murk-Eye
392,1279,6,Captain Grayson
395,262,7,Markus
397,3383,7,Morganth
412,1693,6,Stitches
415,3358,7,Verner Osgood
416,4449,3,Imp
417,850,3,Felhunter
422,506,7,Murloc Flesheater
423,487,7,Redridge Mongrel
424,551,7,Redridge Poacher
426,500,7,Redridge Brute
428,490,1,Dire Condor
429,491,7,Shadowhide Darkweaver
430,10789,7,Redridge Mystic
431,493,7,Shadowhide Slayer
432,1887,7,Shadowhide Brute
433,275,7,Shadowhide Gnoll
434,275,7,Rabid Shadowhide Gnoll
435,6044,7,Blackrock Champion
436,6039,7,Blackrock Shadowcaster
437,6037,7,Blackrock Renegade
440,6033,7,Blackrock Grunt
441,387,2,Black Dragon Whelp
442,366,1,Tarantula
445,609,7,Redridge Alpha
446,609,7,Redridge Basher
448,384,7,Hogger
449,2344,7,Defias Knuckleduster
450,4420,7,Defias Renegade Mage
452,383,7,Riverpaw Bandit
453,502,7,Riverpaw Mystic
454,8871,1,Young Goretusk
456,486,7,Murloc Minor Oracle
458,757,7,Murloc Hunter
459,3345,7,Drusilla La Salle
460,1930,7,Alamar Grimm
461,1469,7,Demisette Cloyce
462,10825,1,Vultros
